date,price
9/6/2002,3.21
8/30/2002,3.33
8/23/2002,3.28
8/16/2002,2.99
8/9/2002,2.78
8/2/2002,3.01
7/26/2002,2.97
7/19/2002,2.9
7/12/2002,2.96
7/5/2002,3.18
6/28/2002,3.43
6/21/2002,3.26
6/14/2002,3.11
6/7/2002,3.24
5/31/2002,3.24
5/24/2002,3.35
5/17/2002,3.57
5/10/2002,3.65
5/3/2002,3.65
4/26/2002,3.5
4/19/2002,3.4
4/12/2002,3.21
4/5/2002,3.54
3/29/2002,3.4
3/22/2002,3.31
3/15/2002,2.92
3/8/2002,2.67
3/1/2002,2.47
2/22/2002,2.38
2/15/2002,2.28
2/8/2002,2.22
2/1/2002,2.18
1/25/2002,2.18
1/18/2002,2.34
1/11/2002,2.38
1/4/2002,2.53
12/28/2001,2.4
12/21/2001,2.4
12/14/2001,2.45
12/7/2001,1.98
11/30/2001,2
11/23/2001,2.18
11/16/2001,2.16
11/9/2001,2.72
11/2/2001,3.06
10/26/2001,2.86
10/19/2001,2.42
10/12/2001,2.21
10/5/2001,1.96
9/28/2001,1.9
9/21/2001,2.15
9/14/2001,2.4
9/7/2001,2.34
8/31/2001,2.45
8/24/2001,3.04
8/17/2001,3.18
8/10/2001,3.09
8/3/2001,3.21
7/27/2001,3.08
7/20/2001,3.07
7/13/2001,3.19
7/6/2001,3
6/29/2001,3.3
6/22/2001,3.81
6/15/2001,3.97
6/8/2001,3.79
6/1/2001,3.74
5/25/2001,4.05
5/18/2001,4.31
5/11/2001,4.22
5/4/2001,4.56
4/27/2001,4.99
4/20/2001,5.21
4/13/2001,5.44
4/6/2001,5.27
3/30/2001,5.39
3/23/2001,5.2
3/16/2001,5.12
3/9/2001,5.24
3/2/2001,5.14
2/23/2001,5.13
2/16/2001,5.63
2/9/2001,5.98
2/2/2001,6.23
1/26/2001,7.07
1/19/2001,7.68
1/12/2001,9.57
1/5/2001,9.79
12/29/2000,9.88
12/22/2000,9.86
12/15/2000,8.37
12/8/2000,8.16
12/1/2000,6.18
11/24/2000,6.29
